Checkin service,Departure/Arrival time convenient,Age,Flight Distance,Class_dummy_Eco,Type of Travel_dummy_Personal Travel,Customer Type_dummy_disloyal Customer,Class_dummy_Eco Plus,satisfaction
5,0,65,265,1,1,0,0,1
2,0,47,2464,0,1,0,0,1
4,0,15,2138,1,1,0,0,1
4,0,60,623,1,1,0,0,1
4,0,70,354,1,1,0,0,1
5,0,30,1894,1,1,0,0,1
5,0,66,227,1,1,0,0,1
5,0,10,1812,1,1,0,0,1
5,0,56,73,0,1,0,0,1
3,0,22,1556,1,1,0,0,1
2,0,58,104,1,1,0,0,1
2,0,34,3633,1,1,0,0,1
2,0,62,1695,1,1,0,0,1
3,1,35,1766,1,1,0,0,1
2,1,47,84,1,1,0,0,1
4,1,60,1373,1,1,0,0,1
3,1,13,3693,1,1,0,0,1
2,1,52,2610,0,1,0,0,1
1,1,55,2554,1,1,0,0,1
3,1,28,3095,1,1,0,0,1
3,1,9,3305,1,1,0,0,1
4,1,10,2090,1,1,0,0,1
1,1,25,2122,1,1,0,0,1
3,1,53,1099,0,1,0,0,1
4,1,16,1747,0,1,0,1,1
3,1,30,1817,1,1,0,0,1
3,1,64,1707,1,1,0,0,1
1,1,42,470,1,1,0,0,1
1,1,9,972,1,1,0,0,1
4,1,35,3695,1,1,0,0,1
2,1,62,2948,0,1,0,1,1
2,1,21,2823,1,1,0,0,1
4,1,20,2485,1,1,0,0,1
2,1,26,2408,1,1,0,0,1
1,1,20,3009,1,1,0,0,1
4,1,48,1449,1,1,0,0,1
1,1,10,3209,1,1,0,0,1
4,1,57,2840,1,1,0,0,1
1,1,25,2534,1,1,0,0,1
1,1,31,2162,1,1,0,0,1
2,1,22,2352,1,1,0,0,1
4,1,17,2748,1,1,0,0,1
3,1,33,2045,1,1,0,0,1
1,1,32,2343,1,1,0,0,1
4,1,60,912,1,1,0,0,1
3,1,38,2139,0,1,0,1,1
3,1,29,1918,1,1,0,0,1
2,1,42,2311,1,1,0,0,1
3,1,31,1599,0,1,0,0,1
3,1,34,1816,1,1,0,0,1
